nba_player_id,team_abbr,season,salary,years_remaining,is_player_option,is_team_option,contract_type
1628369,BOS,2025-26,37096500,4,false,false,supermax
1628983,OKC,2025-26,42180000,4,false,false,supermax
203999,DEN,2025-26,55224526,3,false,false,supermax
1629029,DAL,2025-26,49205800,4,false,false,max
203954,PHI,2025-26,55224526,3,false,false,supermax
1629630,MEM,2025-26,38731160,5,false,false,max
2544,LAL,2025-26,52627153,1,true,false,veteran-min
201939,GSW,2025-26,55761216,1,false,false,supermax
201142,BKN,2025-26,54708608,2,true,false,supermax
201935,LAC,2025-26,52646400,1,true,false,max
1629027,DAL,2025-26,5722116,2,false,false,rookie
1626156,DAL,2025-26,4125027,1,false,false,veteran-min
1626174,LAL,2025-26,12000000,2,false,false,standard
1627759,BOS,2025-26,30000000,3,false,false,max
1628368,BOS,2025-26,28103450,3,false,false,max
1626174,LAC,2025-26,9500000,1,true,false,standard
1627732,GSW,2025-26,8780000,1,false,false,veteran-min
1628378,DEN,2025-26,32385650,3,false,false,max
1628970,MEM,2025-26,16898250,2,false,false,standard
1629631,NYK,2025-26,28681532,3,false,false,max
1629628,ATL,2025-26,46000000,4,false,false,max
1628384,OKC,2025-26,33000000,3,false,false,max
1629027,NYK,2025-26,8780000,1,false,false,standard
1630166,DET,2025-26,7744200,2,false,true,rookie
1629639,SAC,2025-26,42180000,3,false,false,max
1630163,HOU,2025-26,8780000,2,false,false,rookie
1629029,LAL,2025-26,8780000,1,false,false,veteran-min
203507,MIL,2025-26,54126379,3,false,false,supermax
203952,SAC,2025-26,46898400,3,true,false,max
1629680,MEM,2025-26,30000000,3,false,false,max
1626179,SAC,2025-26,18000000,1,false,false,standard
202695,LAC,2025-26,21340000,2,false,true,standard
1629029,DAL,2025-26,5800000,2,false,false,rookie
202691,GSW,2025-26,30000000,2,false,false,max
1630224,OKC,2025-26,5500000,2,false,true,rookie
1629012,IND,2025-26,32000000,3,false,false,max
1628991,DAL,2025-26,3500000,1,false,false,veteran-min
1628973,IND,2025-26,28500000,3,false,false,max
1626164,WAS,2025-26,40000000,2,true,false,max
1629029,DAL,2025-26,2700000,1,false,false,rookie
1641705,SAS,2025-26,12500000,3,false,true,rookie
1641710,POR,2025-26,8780000,3,false,true,rookie
1630584,UTA,2025-26,9100000,2,false,true,rookie
203114,MIN,2025-26,49205800,4,false,false,supermax
1626157,MIN,2025-26,42183000,3,false,false,max
1628386,DEN,2025-26,16500000,2,false,false,standard
1626156,DET,2025-26,4500000,1,false,false,veteran-min
1628390,LAL,2025-26,21500000,2,false,false,standard
1628386,DEN,2025-26,5300000,2,false,false,standard
1641706,CHA,2025-26,8780000,3,false,true,rookie
